"Identifier"	"Title"	"Frequency"	"Period"
"80784eng"	"Agriculture; labour force, region"	"Yearly"	"2000 - 2014"
"7100eng"	"Arable crops; production"	"Twiceyearly"	"1994-2014"
"70671ENG"	"Fruit culture; area fruit orchards"	"Yearly"	"2014"
"37738ENG"	"Vegetables; yield per kind of vegetable"	"Yearly"	"2014"
"71509ENG"	"Yield apples and pears"	"Yearly"	"2013"
"82504ENG"	"Livestock manure; key figures"	"Yearly"	"1950-2014"
"80274eng"	"Livestock cattle"	"Twiceyearly"	"December 2008 - December 2014"
"7373eng"	"Livestock pigs"	"Twiceyearly"	"April 1981 - December 2014"
"7425eng"	"Milk supply and dairy production"	"Monthly"	"January 1995 - May 2015"
"81162eng"	"Agriculture services; finance, SIC 2008"	"Yearly"	"2009-2013"
"71483eng"	"Marine and coastal fisheries, prices"	"Monthly"	"1994 - 2014; January 2005 - March 2015"
"81158eng"	"Construction industry; finance, SIC 2008"	"Yearly"	"2009-2013"
"60006eng"	"Construction industry; productive hours"	"Quarterly"	"2008-2014; I-quart. 2008 - II-quart. 2015"
"7076eng"	"Construction; costs by building phase"	"Monthly"	"1995-2014; I-quart. 1995 - I-quart. 2015; January 1995 - Mei 2015 "
"81808ENG"	"Construction; turnover, index 2010 = 100"	"Monthly"	"2005 - 2014, 2005 1st quarter - 2015 1st quarter, Jan. 2005 - May 2015"
"81802ENG"	"Construction; turnover by size, 2010=100"	"Quarterly"	"2005 - 2014, 2005 1st quarter - 2015 1 st quarter"
"82574ENG"	"Construction; value added index 2010=100"	"Monthly"	"2005 - 2014, 2005 kW I - 2015 kW I, 2005 Jan. - 2015 May"
"7413eng"	"Residential construction; 1988 - 2011"	"Discontinued"	"1988 - 2011"
"70675eng"	"CPI; rent increase since 1959"	"Yearly"	"1959-2014."
"82261ENG"	"Civil engineering works; index 2010=100"	"Threemonthly"	"January 2008 - April 2015"
"81139eng"	"Civil engineering works; index from 1979"	"Threemonthly"	"February 1979 - April 2015"
"81886ENG"	"House Price Index,existing,dwelling type"	"Quarterly"	"1995 1st quarter - 2015 2nd quarter"
"81884ENG"	"House Price Index; existing, Netherlands"	"Monthly"	"1995 January - 2015 June"
"81885ENG"	"House Price Index; existing, region"	"Quarterly"	"1995 1st quarter - 2015 2nd quarter"
"81911ENG"	"New dwellings; input indices 2010=100"	"Monthly"	"2008 January - 2015 May"
"80444eng"	"New dwellings; input indices from 1990"	"Monthly"	"1990 January - 2015 May"
"82039ENG"	"New dwellings; outputindices, 2010=100"	"Quarterly"	"2008 1st quarter - 2015 1st quarter"
"80334eng"	"New dwellings; output indices since 1914"	"Quarterly"	"1914 - 1st quarter 2015"
"70979eng"	"Production indices buildings, level 2000"	"Quarterly"	"2000 first quarter - 2015 second quarter"
"37263eng"	"Changes in the dwelling stock; 1995-2011"	"Discontinued"	"1995 Q I - 2011 Q IV"
"81156eng"	"Trade and industry; finance, SIC 2008"	"Yearly"	"2009-2013"
"81850ENG"	"Continuing vocational training"	"Irregularly"	"2010"
"80393eng"	"Education expenditure and indicators"	"Yearly"	"1995 - 2013"
"80509eng"	"Government expenditure education 1900-.."	"Yearly"	"1900 - 2013"
"80006eng"	"Flow of pupils"	"Yearly"	"1995/'96 - 2008/'09"
"03753eng"	"School size by type of education"	"Yearly"	"1990/'91 - 2011/'12"
"81238eng"	"Business survey Netherlands; months"	"Monthly"	"February 1989 -July 2015"
"81234eng"	"Producer confidence"	"Monthly"	"January 1985 - July 2015."
"71157eng"	"Investment climate; aviation network"	"Discontinued"	"1995 - 2007"
"71158eng"	"Investment climate broadband subscribers"	"Yearly"	"2001 June - 2010 December"
"71163eng"	"Investment climate; capital"	"Yearly"	"1990 - 2011"
"71166eng"	"Dutch economy, 1960-2012"	"Yearly"	"1990 - 2012"
"71162eng"	"Investment climate; entrepreneurship"	"Yearly"	"1990 - 2011"
"71159eng"	"Investment climate; funct. government"	"Yearly"	"1990 - 2012"
"71156eng"	"Investment climate; human capital"	"Yearly"	"1990 - 2011"
"71155eng"	"Investment climate; infrastructure"	"Yearly"	"1990 - 2011"
"71164eng"	"Investment climate; innovation"	"Yearly"	"1990 - 2008"
"71161eng"	"Investment climate; market competition"	"Yearly"	"1990 - 2011"
"71160eng"	"Investment climate; macroeconomic"	"Yearly"	"1990 - 2012"
"71167eng"	"Dutch economy, 1960-2012"	"Irregularly"	"1990 - 2009"
"71454eng"	"Office rents, 2001-2013"	"Yearly"	"January 2001 - April 2013 "
"71445eng"	"Old- and young-age dependency, 2000-2050"	"Yearly"	"2000 - 2050"
"71447eng"	"Society, 1990-2013"	"Yearly"	"1990 - 2013"
"80728eng"	"Investments; expectations and motives"	"Twiceyearly"	"2010-2015"
"82190ENG"	"Corporate data; turnover developments"	"Quarterly"	"2012 Q1 - 2014 Q3"
"80066eng"	"Enterprises with innovation; key figures"	"Twoyearly"	"1994-2008"
"82011ENG"	"Enterprise control; jobs, SIC 2008"	"Yearly"	"2008-2011"
"82010ENG"	"Enterprise control; jobs, size class"	"Yearly"	"2008-2011"
"81179eng"	"Jobs; enterprise control 2006-2008"	"Discontinued"	"2006-2008"
"80335eng"	"ICT use companies by SIC 2008, 2008"	"Onceonly"	"2008"
"80336eng"	"ICT use companies by company size, 2008"	"Onceonly"	"2008"
"80337eng"	"ICT use by SIC 2008 and size of company"	"Onceonly"	"2008"
"80813eng"	"Patents; size class of applicant"	"Yearly"	"2000-2010"
"81923ENG"	"Patents; SIC 2008 applicant"	"Yearly"	"2009-2010"
"80825eng"	"Patents; technology area application"	"Yearly"	"2000-2010"
"80427eng"	"E-commerce, purchase and sales companies"	"Yearly"	"2008-2009"
"80439eng"	"R&D; key figures"	"Yearly"	"2002-2010"
"81819ENG"	"Business services; turnover, 2010 = 100"	"Quarterly"	"2005 - 2015, 2005 quarter I - 2015 quarter I."
"81818ENG"	"Employment agencies; turnover, 2010=100"	"Quarterly"	"2005 - 2015, 2005 quarter I - 2015 quarter I, January 2005 - march 2014"
"82438ENG"	"Hairdressers; turnover, 2010 = 100"	"Quarterly"	"2005 - 2015, 2005 Q1 - 2015 Q1"
"81820ENG"	"Information; turnover, 2010 = 100"	"Quarterly"	"2005 - 2015, 2005 kWI - 2015 kwI."
"81530ENG"	"Price indices services; index 2010 = 100"	"Quarterly"	"4th quarter 2002 - 1st quarter 2015, year averages 2003 - 2014"
"82962ENG"	"Financial corporations; balance sheet"	"Yearly"	"1998 - 2013"
"82827ENG"	"Inst. investors; investments in property"	"Yearly"	"1980, 1985, 1990, 1995, 1999-2013."
"82826ENG"	"Inst. investors; property, changes"	"Quarterly"	"1999 - 2014, 2003 Q1 - 2015 Q1"
"82921ENG"	"Institutional investors; balance sheet"	"Yearly"	"1998 - 2013"
"82929ENG"	"Institutional investors; investments"	"Yearly"	"1950 - 2013"
"82824ENG"	"Quarterly fig. institutional investors"	"Quarterly"	"1996 - 2014; 2005 Q1 - 2015 Q1"
"82825ENG"	"Investments of inst. inv.; foreign inv."	"Quarterly"	"1980 - 2014, 2005 Q1 - 2015 Q1"
"81165eng"	"Services; finance, SIC 2008"	"Yearly"	"2009-2013"
"82372ENG"	"CG; monthly revenue and expenditure"	"Monthly"	"January 2014 - May 2015"
"82823ENG"	"Government; debt guarantees, PPP, loans"	"Yearly"	"2010 - 2013"
"82891ENG"	"Government participation; control"	"Yearly"	"2012 - 2013"
"82593ENG"	"MLG; quarterly revenue and expenditure"	"Quarterly"	"2014 Q1 - 2015 Q1"
"82561ENG"	"OLG; quarterly revenue and expenditure"	"Quarterly"	"2014 Q1 - 2015 Q1"
"82892ENG"	"Public corporations; liabilities"	"Yearly"	"2012 - 2013"
"82373ENG"	"SSF; monthly revenue and expenditure"	"Monthly"	"January 2014 - May 2015"
"82560ENG"	"Government Finance Stat.; key figures"	"Quarterly"	"1995 - 2014; 1999 QI - 2015 QI"
"37278ENG"	"Elections Dutch Lower House, 1918-2006"	"Discontinued"	"1918 - 2006"
"80518ENG"	"Trust in others, law & politics"	"Irregularly"	"2002-2012"
"7233ENG"	"Deaths; cause of death (extensive list)"	"Yearly"	"1996-2013"
"7052eng"	"Deaths; underlying cause (shortlist)"	"Yearly"	"1950-2013"
"7022eng"	"Deaths; suicide (residents)"	"Yearly"	"1950-2013"
"81655ENG"	"Medical end-of-life decision; age, COD"	"Fiveyearly"	"2010"
"83073ENG"	"Health expenditure; functions, financing"	"Twiceyearly"	"2005-2014"
"83074ENG"	"Health expenditure; providers, financing"	"Twiceyearly"	"2005-2014"
"83072ENG"	"Health expenditure; providers, functions"	"Twiceyearly"	"2005-2014"
"71914eng"	"Health and Social Care Accounts '98-2011"	"Discontinued"	"1998-2011"
"80511ENG"	"Health practitioners; finance"	"Yearly"	"2005-2013"
"81071ENG"	"Dispensed medicines; age and sex"	"Yearly"	"2006-2013"
"81072ENG"	"Dispensed medicines; origin, generation"	"Yearly"	"2006-2013"
"71950eng"	"Health expectancy; since 1981"	"Yearly"	"1981-2013. Data: Health Interview Survey."
"81174ENG"	"Health; sex and age, 2010-2013"	"Discontinued"	"2010-2013"
"7068eng"	"Health trends of the Dutch population"	"Discontinued"	"1981 - 2000"
"81177eng"	"Lifestyle; 2010-2013"	"Yearly"	"2010-2013"
"81175eng"	"Lifestyle; sex,age; 2010-2013"	"Yearly"	"2010-2013"
"81178ENG"	"Medical contacts; sex and age, 2010-2013"	"Discontinued"	"2010-2013"
"03799eng"	"Reported health and lifestyle"	"Yearly"	"2000 - 2009. Data: POLS- Health-Interview-Survey"
"7042eng"	"Use of medical facilities; 1981-2009"	"Yearly"	"medicines, contraceptive pill, 1981 - 2009. DATA: Health-Interview-Survey"
"81505ENG"	"Personal wellbeing; life events"	"Onceonly"	"1998-2009"
"81628ENG"	"Health and care; key figures"	"Threetimesayear"	"2001-2014"
"81451ENG"	"Health care institutions; key figures"	"Yearly"	"2006-2013"
"37852eng"	"Health and health care; from 1900"	"Yearly"	"1900-2014"
"7388eng"	"Consumer confidence"	"Monthly"	"1972 - 2014, QII 1986 - QII 2015, May 1972 - July 2015"
"60046eng"	"Expenditure brief; household char."	"Yearly"	"1992 - 2000; 2003 - 2010"
"70076eng"	"Spending; consumption household"	"Monthly"	"1995-2014, 1995 Q1 - 2015 Q1, 1995 January - 2015 May"
"70017eng"	"Import and export; key figures"	"Monthly"	"2002 - 2014; 2002 January - 2015 May"
"81202eng"	"Export specialisation to the EU-15"	"Yearly"	"1996 - 2013"
"7137eng"	"Im- and exports according to SITC"	"Monthly"	"1996 - 2014; 2004 January - 2015 April."
"37952eng"	"Trade according to the Harmonised System"	"Monthly"	"1996 - 2011; 1996 January - 2012 December"
"82616ENG"	"Im- and exports;services,country,quarter"	"Quarterly"	"2015"
"80414eng"	"Imports and exports; services, 2003-2013"	"Discontinued"	"2003 - 2013; 2003 1st quarter - 2013 4st quarter"
"82605ENG"	"Imports/exports; change of ownership"	"Monthly"	"1995 January- 2015 May"
"82606ENG"	"Terms of trade in goods"	"Monthly"	"1995 January - 2015 May"
"82578ENG"	"Compensation; economic activity"	"Yearly"	"1995 - 2014"
"82577ENG"	"Compensation of employees; quarterly"	"Quarterly"	"1995-2015, q1 1995-q1 2015"
"81431ENG"	"Employment; key figures"	"Yearly"	"2009-2013"
"82579ENG"	"Employment; economic activity, sex"	"Yearly"	"1995 - 2014"
"81464ENG"	"Employment, employee, cao"	"Yearly"	"2009-2013"
"81434ENG"	"Employment; employee, SIC2008"	"Yearly"	"2009-2013"
"81463ENG"	"Employment;job characteristics, cao"	"Yearly"	"2009-2013"
"81433ENG"	"Employment; job characteristics, SIC2008"	"Yearly"	"2009-2013"
"82575ENG"	"Employment; quarterly"	"Quarterly"	"1995-2015, q1 1995 - q1 2015"
"81432ENG"	"Employment; size of company, SIC2008"	"Yearly"	"2009-2013"
"81462ENG"	"Employment,type of employment,cao"	"Yearly"	"2009-2013"
"80857eng"	"Vacancies; government and education"	"Quarterly"	"1997 - 2014, 1997 Q1 - 2015 Q1"
"80474eng"	"Vacancies; seasonally adjusted"	"Quarterly"	"1997 Q1 - 2015 Q1"
"80472eng"	"Vacancies; SIC 2008; total"	"Quarterly"	"1997 - 2014, 1997 Q1 - 2015 Q1"
"80473eng"	"Vacancies;SIC 2008;private sector"	"Quarterly"	"1997 - 2014, Q1 1997 - Q1 2015"
"80479eng"	"Monthly labour participation (12-hours)"	"Monthly"	"January 2003 - June 2015"
"80590eng"	"Monthly labour participation"	"Monthly"	"January 2003 - June 2015"
"71882eng"	"Labour force; since 1800 (12-hours)"	"Yearly"	"1800 - 2013"
"70066eng"	"Period needed to find job school-leavers"	"Discontinued"	"1991 - 2001"
"82838ENG"	"Cao wages; indexfigures (2010=100)"	"Monthly"	"2010-2014; 2010Q1 - 2015Q2; jan 2010 - juni 2015"
"82679ENG"	"Labour price index; 2010=100"	"Quarterly"	"2001-2015 March"
"37789eng"	"Social security; key figures"	"Monthly"	"1998 - 2012 (annual averages), January 1998 - February 2013."
"37506eng"	"Unemployment benefits; monthly review"	"Monthly"	"1998 January - 2015 April."
"7101eng"	"Art education for amateurs; teach. hours"	"Twoyearly"	"1993 - 2003"
"70077eng"	"Professional performing arts"	"Yearly"	"1999 - 2013"
"70763eng"	"Public libraries"	"Yearly"	"1999 - 2012"
"7083eng"	"Sports clubs and sports schools"	"Threeyearly"	"1987 - 2006"
"70256eng"	"Sports clubs; oper. costs and revenues"	"Threeyearly"	"2000-2009"
"7193eng"	"Sports facilities"	"Threeyearly"	"1988 - 2009"
"82670ENG"	"Tourism; key indicators"	"Yearly"	"2010-2013"
"82671ENG"	"Tourist expenditure"	"Yearly"	"2010-2013"
"7508eng"	"Amusement and theme parks"	"Twoyearly"	"1998-2008"
"70220eng"	"Day trips by characteristics"	"Fiveyearly"	"1990/91 - 2001/02"
"82621ENG"	"Hotels; business related overnight stays"	"Monthly"	"January 2012 - April 2015"
"82061ENG"	"Hotels; guests, region"	"Monthly"	"January 2012 - December 2014"
"60029eng"	"Leisure activities"	"Yearly"	"1997 - 2011."
"82062ENG"	"Overnight accommodation; capacity"	"Monthly"	"January 2012 - April 2015"
"82059ENG"	"Overnight accommodation; guests  "	"Monthly"	"January 2012 - April 2015"
"82058ENG"	"Overnight accommodation; key figures "	"Monthly"	"January 2012 - April 2015"
"60027eng"	"Participation in social activities"	"Yearly"	"1997 - 2011"
"82219ENG"	"Overdrafts on current accounts"	"Monthly"	"2010 June - 2015 May"
"7116eng"	"Savings"	"Monthly"	"1991 January - 2015 May"
"03744eng"	"Stocks: Market value"	"Monthly"	"1983 December - 2015 June"
"83071ENG"	"Consumption by purpose"	"Yearly"	"1995-2014"
"83069ENG"	"Consumption by type of goods and service"	"Yearly"	"1995-2014"
"82239ENG"	"Contribution to economic growth"	"Yearly"	"1995-2014"
"82600ENG"	"Capital formation by type and by sector"	"Yearly"	"1995 - 2014"
"83088ENG"	"Exports of goods and services by origin"	"Yearly"	"1995-2014"
"82599ENG"	"Capital formation by destination"	"Yearly"	"1995 - 2014"
"82604ENG"	"Gross fixed capital formation: month"	"Monthly"	"2005 January-2015 May"
"83087ENG"	"Imports by destination"	"Yearly"	"1995-2014"
"82572ENG"	"Output and income by activity"	"Yearly"	"1995-2014"
"82602ENG"	"Quarterly National Accounts; changes"	"Quarterly"	"1995 - 2014, Q1 1995 - Q1 2015"
"82601ENG"	"Quarterly National Accounts; values"	"Quarterly"	"1995 - 2014, Q1 1995 - Q1 2015"
"83068ENG"	"Supply and use by products of activity"	"Yearly"	"1995-2014"
"82873ENG"	"Environmental and economic key figures"	"Yearly"	"2013"
"83128ENG"	"Waste balance; key figures"	"Twoyearly"	"1990-2012"
"81395ENG"	"Emissions to air"	"Yearly"	"1990 - 2013"
"82955ENG"	"Emissions to water, origin-destination"	"Twoyearly"	"1995-2012"
"82238ENG"	"Energy use by companies and households"	"Yearly"	"1995-2013"
"82805ENG"	"Environmental sector; activities"	"Yearly"	"2001-2012"
"82804ENG"	"Environmental sector; industries"	"Yearly"	"2001-2012"
"82725ENG"	"Environmental taxes and fees"	"Yearly"	"2001-2013"
"80601ENG"	"Extraction, import and export materials"	"Yearly"	"1996-2012"
"82539ENG"	"Natural gas and oil reserves"	"Yearly"	"1987-2013"
"83126ENG"	"Waste balance; national accounts"	"Twoyearly"	"2008-2012"
"82883ENG"	"Water use and abstraction"	"Yearly"	"2003 - 2012"
"82801ENG"	"Regional accounts; key figures, region"	"Yearly"	"2010-2013"
"82800ENG"	"Regional accounts; economic growth"	"Twiceyearly"	"2011-2014"
"82934ENG"	"Fixed capital formation by industry"	"Yearly"	"2010-2012"
"82935ENG"	"Fixed capital formation; capital good"	"Yearly"	"2010-2012"
"82797ENG"	"Production process; SIC 2008, region"	"Yearly"	"2010-2012"
"82936ENG"	"Transactions of the sector households"	"Yearly"	"2010-2012"
"82594ENG"	"Key figures by sector"	"Quarterly"	"1995 - 2014, Q1 1999  Q1 2015"
"82596ENG"	"Financial balance sheet and transactions"	"Quarterly"	"1995 - 2014, Q1 1999  Q1 2015"
"82595ENG"	"Sector accounts; current transactions"	"Quarterly"	"1995 - 2014, Q1 1999  Q1 2015"
"82262ENG"	"Approaches of domestic product (GDP)"	"Yearly"	"1995-2014"
"7055eng"	"Business survey manufacturing industry"	"Discontinued"	"enterprises by activity (SIC 93). February 1989 - October 2011."
"82643ENG"	"Macroeconomic scoreboard"	"Quarterly"	"2006 - 2014; 2006 Q1 - 2015 Q1"
"37991eng"	"Producer confidence until November"	"Discontinued"	"January 1985 - Oktober 2011."
"82265ENG"	"Structure national net lending/borrowing"	"Yearly"	"1995-2014"
"37281eng"	"Energy balance sheet; key figures"	"Quarterly"	"1946 - 4th quarter 2014"
"70846eng"	"Energy balance sheet, 1995-2013"	"Yearly"	"1995-2013"
"80324eng"	"Energy; consumption and producer prices"	"Monthly"	"January 1995 - March 2015"
"71554eng"	"Coal and coal products; from 1802"	"Yearly"	"1802 - 2013"
"80099eng"	"Crude; supply and consumption"	"Monthly"	"1944 - April 2015"
"37621eng"	"Hard coal; supply and consumption"	"Monthly"	"January 1991 - April 2015"
"00372eng"	"Natural gas; supply and consumption"	"Monthly"	"1946 - April 2015"
"80100eng"	"Petroleum product supply and consumption"	"Monthly"	"1946 - April 2015"
"00377eng"	"Electricity; supply and consumption"	"Monthly"	"1920 - April 2015"
"80030eng"	"Electricity; production and input"	"Yearly"	"1998-2014"
"37823eng"	"Electricity; means of production"	"Yearly"	"1998-2013"
"81528ENG"	"Energy consumption private dwellings"	"Yearly"	"2010-2013"
"82375ENG"	"Energy consumption households"	"Yearly"	"1975 - 2012"
"80101eng"	"Motor fuels for transport; deliveries"	"Monthly"	"1946 - May 2015"
"82117ENG"	"Supply of energy; construction, services"	"Yearly"	"2010-2013"
"82538ENG"	"Supply natural gas electricity; SIC 2008"	"Yearly"	"2010-2013"
"81163eng"	"Energy supply; finance, SIC 2008"	"Yearly"	"2009-2013"
"37215eng"	"Steam coal; import price"	"Quarterly"	"1st quarter 1981 - 1st quarter 2015"
"71456eng"	"Liquid biofuels for transport"	"Yearly"	"2003 - 2014"
"83109ENG"	"Renewable energy; use"	"Yearly"	"1990 - 2014"
"70802eng"	"Wind energy; by month"	"Monthly"	"2002-2014; 1st quarter 2002-1st quarter 2015; January 2002-May 2015"
"81166eng"	"Industry; finance, SIC 2008"	"Yearly"	"2009-2013"
"81810ENG"	"Industry; production, sales, 2010=100"	"Monthly"	"2005 - 2014, 2005 QI - 2015 QI, 2005 January - 2015 May"
"81984ENG"	"Manufacturing; stocks of finished goods"	"Monthly"	"2005  2014, 2005 QI  2015 QI, 2005 January  2015 May"
"81159eng"	"Mining and quarrying; finance, SIC 2008"	"Yearly"	"2009-2013"
"82444ENG"	"New orders manufacturing; 2005-2013"	"Onceonly"	"2005 - 2013, 2005 QI - 2013 QIV, 2005 Jan. - 2013 December"
"37221eng"	"Actual emissions; all sources"	"Yearly"	"1990, 1995, 2000 - 2013"
"80448eng"	"Actual emissions; mobile sources"	"Yearly"	"1990-2013"
"7063eng"	"Actual emissions; road traffic"	"Yearly"	"1980, 1985, 1990-2013"
"70946eng"	"Emissions of greenhouse gases; IPCC"	"Yearly"	"1990, 1995, 2000 - 2013"
"70947eng"	"Emissions to air; NEC"	"Yearly"	"1990, 1995, 2000 - 2013"
"82861ENG"	"Environment costs industry; key figures"	"Yearly"	"2012-2013*"
"37807eng"	"Environment costs industry 1985-2012"	"Discontinued"	"1985 - 2012*"
"7467eng"	"Municipal waste; quantities"	"Yearly"	"1993 - 2014"
"7477eng"	"Urban waste water treatment; region"	"Yearly"	"1981, 1985, 1990 - 2013"
"81183eng"	"Water supply, waste; finance, SIC 2008"	"Yearly"	"2009-2012"
"70262ENG"	"Land use; municipalities"	"Twoyearly"	"1996, 2000, 2003, 2006, 2008 and 2010"
"37105ENG"	"Land use; regional, 1900 onwards"	"Twoyearly"	"1900-2010"
"80370eng"	"Climate data weather station De Bilt"	"Yearly"	"1800-2013"
"37422eng"	"Birth; key figures"	"Twoyearly"	"1950 - 2012"
"37744eng"	"Birth; age mother (on 31 December)"	"Twoyearly"	"1950 - 2012"
"37979eng"	"Mortality; key figures"	"Twoyearly"	"1950 - 2013"
"37772eng"	"Marriages; key figures"	"Twoyearly"	"1950 - 2013"
"37425eng"	"Marriage dissolutions; key figures"	"Twoyearly"	"1950 - 2013"
"81478eng"	"Asylum requests"	"Monthly"	"2007 January - 2015 June"
"03742eng"	"External migration; country of birth"	"Twoyearly"	"1995 - 2013"
"03743eng"	"Population; age, nationality"	"Twoyearly"	"1996 - 2013"
"37325eng"	"Population; origin"	"Twoyearly"	"1996 - 2014"
"37296eng"	"Population; key figures"	"Twoyearly"	"1950 - 2013"
"82905ENG"	"Households; key figures"	"Yearly"	"1995-2014"
"37556eng"	"Population; from 1899"	"Twoyearly"	"1899 - 2014"
"7461eng"	"Population; age, marital status"	"Yearly"	"1950 - 2014"
"37259eng"	"Population dynamics; region"	"Twoyearly"	"Period 1960 - 2013"
"82683ENG"	"Population forecasts 2014-2060"	"Onceonly"	"2014-2060"
"37943eng"	"Population; month, quarter and year"	"Monthly"	"January 1995 - May 2015*"
"80346eng"	"Consumer prices; average prices"	"Yearly"	"2000 - 2014"
"80345eng"	"Consumer prices; prices since 1800"	"Yearly"	"1800 - 2014"
"81135eng"	"CPI; frequent purchases, 2006=100"	"Monthly"	"January 2006 - June 2015"
"80087eng"	"CPI; harmonised price index 2005 = 100"	"Monthly"	"January 2002 - June 2015"
"71099eng"	"CPI; inflation Europe 2005 = 100"	"Monthly"	"January 1996 - June 2015"
"70936eng"	"CPI; inflation since 1963"	"Monthly"	"January 1963 - June 2015"
"71905eng"	"CPI; price index 1900 = 100"	"Yearly"	"1900 - 2014"
"71311eng"	"CPI; price index 2006 = 100"	"Monthly"	"January 2002 - June 2015"
"71313eng"	"CPI; underlying inflation 2006 = 100"	"Monthly"	"January 2006 - June 2015"
"81975ENG"	"Producer Price Index; 2010=100, SIC2008"	"Monthly"	"1981-2014; January 1981 - May 2015"
"81974ENG"	"PPI; by product,  2010 = 100"	"Monthly"	"2005 - 2014; January 2005 - May 2015"
"72007eng"	"Debt restructuring plans"	"Quarterly"	"QI 1999 - Q1 2015"
"80426eng"	"Debt restructuring plans; type of ending"	"Threemonthly"	"Q1 1999 - Q1 2015"
"80059eng"	"Asylum requests; from 1980"	"Yearly"	"1980-2014"
"80498eng"	"Asylum requests; international"	"Yearly"	"2008-2014"
"37167eng"	"Requests for legal aid by char."	"Discontinued"	"1997 - 2004"
"37615eng"	"Fire services; assistance, rescues"	"Yearly"	"1995 - 2013"
"71482eng"	"Fire services; employees"	"Yearly"	"2000 - 2015*"
"37441eng"	"Fire services; fires and assistances"	"Yearly"	"1985 - 2013"
"37511eng"	"Fire services; fires, employees, costs"	"Yearly"	"1985 - 2013"
"37957ENG"	"Crime victims by pers. characteristics"	"Discontinued"	"1997 - 2004"
"37775eng"	"Feelings of insecurity by type"	"Discontinued"	"1997 - 2004"
"37685ENG"	"Victims of crime"	"Discontinued"	"1992 - 2004"
"37340eng"	"Key figures; criminal law"	"Yearly"	"1994 - 2013"
"37632eng"	"Special procedures in criminal cases"	"Yearly"	"1990-2014"
"81160eng"	"Car trade; finance, SIC 2008"	"Yearly"	"2009-2013"
"81799ENG"	"Imports of new cars; turnover, 2010=100"	"Monthly"	"2005 - 2014, 2005 kW I - 2015 KW I, jan. 2005 - mei 2015"
"81817ENG"	"Motor vehicles trade; turnover, 2010=100"	"Quarterly"	"2005 - 2014, 2005 kWI - 2015 kWI, jan. 2005 - maart 2015"
"81161eng"	"Retail trade; finance, SIC 2008"	"Yearly"	"2009-2013"
"82893ENG"	"Retail trade; internet sales"	"Monthly"	"2014, 2014 Q I - 2015 Q I, 2014 Jan. - 2015 May."
"81804ENG"	"Retail trade; turnover, index 2010 = 100"	"Twicemonthly"	"2005 - 2014, 2005 Q I - 2015 Q I, 2005 Jan. - 2015 May."
"81164eng"	"Wholesale trade; finance, SIC 2008"	"Yearly"	"2009-2013"
"81807ENG"	"Wholesale trade; turnover, 2010 = 100"	"Quarterly"	"2005-2014, 2005 kW1-2015 kWI"
"81822ENG"	"Wholesale trade; stocks, index 2010=100"	"Quarterly"	"2005-2014, 2005 QI-2015 Q1"
"82439ENG"	"Accommodation, food; turnover, 2010 = 10"	"Quarterly"	"2005 - 2015, 2005 kw I - 2015 kw I"
"81435ENG"	"Index traffic density, 2000=100"	"Yearly"	"2000 - 2011"
"70071eng"	"Motor vehicles; general overview"	"Yearly"	"Reference date: 1 January 2000 - 2012"
"82044ENG"	"Motor vehicles; type, age class"	"Yearly"	"2000 - 2015"
"37478eng"	"Monthly figures on aviation"	"Monthly"	"1997 - 2014; 1999 Q I - 2015 Q I; 1999 January - 2015 April."
"81821ENG"	"Transport; turnover, index 2010 = 100"	"Quarterly"	"2005-2014, 2005 kWI-2015 kWI"
"81157eng"	"Transport, storage; finance, SIC 2008"	"Yearly"	"2009-2013"
"80379ENG"	"Vehicle kilometres goods vehicles;weight"	"Yearly"	"2001-2013"
"81154eng"	"Caribbean NL; electricity and water"	"Yearly"	"1993-2014"
"82231ENG"	"Caribbean Netherlands; power cuts"	"Yearly"	"2010-2013"
"82659ENG"	"Bonaire; imports and exports, SITC"	"Quarterly"	"2011 - 2014, 2011 3rd quarter - 2015 1st quarter"
"80576eng"	"Bonaire; imports and exports, 2004-2009"	"Discontinued"	"2004 - 2009"
"82658ENG"	"Carib. NL; im- and export per island"	"Quarterly"	"2011 - 2014, 2011 3rd quarter - 2015 1st quarter "
"81059eng"	"Bonaire employed pop;characteristics '10"	"Onceonly"	"2010"
"81060eng"	"Bonaire employed pop; econ. activity '10"	"Onceonly"	"2010"
"81058eng"	"Bonaire labour force;characteristics '10"	"Onceonly"	"2010"
"82070ENG"	"Caribbean NL; employed characteristics"	"Twoyearly"	"2012"
"82071ENG"	"Carib. NL; employed, economic activity"	"Twoyearly"	"2012"
"82069ENG"	"Carib. NL; labour force characteristics"	"Twoyearly"	"2012"
"82518ENG"	"Dutch Caribbean; jobs, age"	"Yearly"	"2011-2013"
"82519ENG"	"Dutch Caribbean; jobs, SIC2008"	"Yearly"	"2011-2013"
"80534ENG"	"Caribbean NL; population (1 january)"	"Yearly"	"2002-2014"
"80539ENG"	"Caribbean NL; population growth"	"Yearly"	"2007-2013"
"81122eng"	"Caribbean Netherlands; CPI 2010=100"	"Quarterly"	"1st quarter 2010  2nd quarter 2015"
"7355ENG"	"Agricultural census, 1992 - 2000"	"Discontinued"	"1992 - 2000"
"71839eng"	"Agriculture services; finance, 2006-2008"	"Discontinued"	"2006-2008"
"71842eng"	"Gardening services; finance, 2006 - 2008"	"Discontinued"	"2006-2008"
