"Identifier"	"Title"	"Frequency"	"Period"
"71840ned"	"Energiebedrijven; financin, 2006 - 2008"	"Stopgezet"	"2006-2008"
"70663ned"	"Energiebedrijven >=100 werkn., 2001-2003"	"Stopgezet"	"2001 - 2003."
"70780ned"	"Energiebedrijven; omzet, 2003 - 2008"	"Stopgezet"	"2003 - 2008; kw I 2003 - kw IV 2008; jan 2003 - dec. 2008."
"07145"	"Energiebedrijven; verkopen, 1990 - 2002 "	"Stopgezet"	"1990 - 2002; kw I 1990 - kw IV 2002"
"72002ned"	"Energie- en water; omzet, 2003-2012"	"Stopgezet"	"2003 - 2012; kw I 2003 - kw IV 2012; jan 2003 - december 2012"
"70914ned"	"Energiekosten per gigajoule, 1990 - 2006"	"Stopgezet"	"1990 - 2006"
"37359"	"Gas en elektra; gem. tarieven 1996-2012"	"Stopgezet"	"1996 - 2011; Kw I 1997 - Kw I 2012"
"7520"	"HBO, stookolie; prijzen, 1996 - 2009"	"Stopgezet"	"1996 - 2009; 1997 kw I - 2009 kw IV"
"7521"	"Motorbrandstoffen; adviesprijzen"	"Stopgezet"	"1913 - 2009; 1997 kw I - 2009 kw IV"
"37291"	"Wereldmarktprijzen aardolie;"	"Stopgezet"	"1996 - 2006; Kw I 1997 - kw III 2007"
"7444"	"Aardgas- en elektraverbruik, 1993 - 1999"	"Stopgezet"	"1993 - 1999"
"37207"	"Energieverbruik bouwnijverheid,1990-1999"	"Stopgezet"	"1990 - 1999"
"82374NED"	"Energieverbruik energiesector, 1967-2013"	"Stopgezet"	"1967 - 2e kwartaal 2013"
"7442"	"Energieverbruik fin. instel., 1994, 1999"	"Stopgezet"	"1994 en 1999"
"7514"	"Energieverbruik industrie, 1993 - 2006"	"Stopgezet"	"1993 - 2006."
"7447"	"Energieverbruik land-/tuinbouw,1989-2006"	"Stopgezet"	"1989 - 2006."
"82369NED"	"Energieverbruik nijverheid, 1975 - 2012"	"Stopgezet"	"1975 - 2012; 1999 1e kwartaal - 2010 4e kwartaal "
"7523"	"Energieverbruik onderwijs, 1993, 1997"	"Stopgezet"	"1993, 1997."
"82371NED"	"Energieverbruik sector vervoer,1955-2013"	"Stopgezet"	"1955 - 2e kwartaal 2013"
"7525"	"Energieverbruik transport; gebouwen,1994"	"Stopgezet"	"1994"
"7524"	"Energieverbruik transport; vervoer, 1994"	"Stopgezet"	"1994"
"7454"	"Energieverbruik wegverkeer, 1991 - 2002"	"Stopgezet"	"1991 - 2002"
"70135ned"	"Energieverbruiksklassen industrie, 2000"	"Stopgezet"	"2000"
"70789ned"	"Hernieuwbare elektriciteit, 1990-2013"	"Stopgezet"	"1990 - 2013; 1e kwartaal 2002 - 4e kwartaal 2013"
"7516"	"Hernieuwbare energie; verbruik,1990-2013"	"Perjaar"	"1990 - 2013"
"71457ned"	"Hernieuwb. energ; capac & prod 1990-2013"	"Stopgezet"	"1990 - 2013"
"70949ned"	"Zonnestroomsystemen; handel, 1991-2012"	"Stopgezet"	"1991 - 2012"
"71458ned"	"Zonnewarmte; collectoren, 2002 - 2012"	"Stopgezet"	"2002 - 2012; eerste kwartaal 2002 - vierde kwartaal 2012"
"60063"	"Energiebalans; bedrijfstak, 2000 - 2003"	"Stopgezet"	"2000 - 2002; kw I 2000 - kw III 2003"
"37324"	"Industrile inkopen grond-, hulpstoffen"	"Stopgezet"	"1996 - 1999"
"37376"	"Industrile inkopen van loondiensten"	"Stopgezet"	"1996 - 1999"
"37496"	"Industrile inkopen verpakkingsmiddelen"	"Stopgezet"	"1996 - 1998"
"80517ned"	"Nijverheid; productie, 1953-2011"	"Stopgezet"	"1953-2008; januari 1953 - december 2011"
"72009ned"	"Nijverheid; productie en omzet 2000-2012"	"Stopgezet"	"2000 - 2012; januari 2000 - december 2012"
"70696ned"	"Nijverheid; productie, omzet, 1995-2008"	"Stopgezet"	"1995 - 2008; januari 1995 - december 2008"
"71837ned"	"Delfstoffenwinning; financin, 2006-2008"	"Stopgezet"	"2006-2008"
"70091ned"	"Delfstoffenwinning; financin, 2000-2005"	"Stopgezet"	"2000 - 2005."
"72000ned"	"Delfstoffenwinning; omzet, 2000-2012"	"Stopgezet"	"2000 - 2012; kw I 2000 - kw IV 2012; jan 2000 - december 2012"
"70743ned"	"Delfstoffenwinning; omzet, 2000 - 2008"	"Stopgezet"	"2000 - 2008; kw I 2000 - kw IV 2008; jan. 2000 - dec. 2008."
"07143"	"Delfstoffenwinning; verkopen 1990 - 2002"	"Stopgezet"	"1990 - 2002; kw I 1990 - kw IV 2002; jan 1995 - feb. 2003."
"70092ned"	"Delfstoffenwinn.; >=100 werkn. 2000-2003"	"Stopgezet"	"2000 - 2003"
"7178ZUIV"	"Melkaanvoer en zuivelproductie;1995-1997"	"Stopgezet"	"1995 - 1997; januari 1995 - dec. 1997."
"7126"	"Productiecijfers ind., alle bedrijven"	"Stopgezet"	"Verslagperiode : 1996 - 1999"
"7125"	"Productie ind. bedrijven >=20 werknemers"	"Stopgezet"	"1996 - 2005"
"37928"	"Productie Soc. Werkvoorziening 1995-2002"	"Stopgezet"	"1995 - 2002"
"71848ned"	"Sociale werkvoorz.; financin, 2006-2008"	"Stopgezet"	"2006-2008"
"70955NED"	"Sociale Werkvoorziening; productie"	"Stopgezet"	"2003 - 2005"
"37374"	"Verbruik van cacaobonen (SBI 1584.1)"	"Stopgezet"	"1993 - 2001; Kw I 1993 - Kw 2 2002"
"37771"	"Verkopen;industrile producten 1993-2007"	"Stopgezet"	"1993 - 2007; 1993 kw I - 2004 kw IV; 2003 - 2007"
"7055"	"Conjunctuurtest industrie tot oktober"	"Stopgezet"	"Februari 1989 - Oktober 2011."
"70035NED"	"Industrie; alle bedrijven 2000 - 2005"	"Stopgezet"	"2000 - 2005"
"71847ned"	"Industrie; financin, 2006 - 2008"	"Stopgezet"	"2006-2008"
"70036NED"	"Industrie; grote bedrijven 2000 - 2005"	"Stopgezet"	"2000 - 2005"
"80273ned"	"Industrie; Voorraad 2004-2012"	"Stopgezet"	"2004 - 2012; 2004 KW I - 2012 KW IV; 2004 januari - 2012 december"
"37350"	"Omzetontwikkeling in de industrie"	"Stopgezet"	"1997 - 2005; kw I 1997 - kw IV 2005; januari 1997 - februari 2006"
"37991pvr"	"Producentenvertrouwen tot november 2011"	"Stopgezet"	"Januari 1985 - Oktober 2011."
"80111ned"	"Verkopen;industrile producten,2008-2013"	"Stopgezet"	"2008-2013"
"71052NED"	"Consumptieve bestedingen; 1995-sept 2005"	"Stopgezet"	"1995 - 2004, Kw I 1995 - Kw III 2005, jan. 1995 - sep. 2005."
"70689ned"	"Energie: bestedingen en verbruik"	"Stopgezet"	"1980 - 2000"
"70690ned"	"Energie:naar huishoudkenmerken;1992-2000"	"Onregelmatig"	"1992 - 2000"
"71222ned"	"Laag inkomen; part. huishoudens, 2002"	"Eenmalig"	"2002."
"70103NED"	"Lage inkomens: stand, in- en uitstroom"	"Stopgezet"	"1992 - 2000"
"70101ned"	"Particuliere huishoudens: laag inkomen"	"Stopgezet"	"1990 - 2000"
"70102ned"	"Personen in huishoudens met laag inkomen"	"Stopgezet"	"1990 - 2000*"
"70197ned"	"AOW-huishoudens; inkomensklassen"	"Stopgezet"	"1990 - 2000"
"70198NED"	"AOW-huishoudens; samenstelling inkomen"	"Stopgezet"	"1990 - 2000"
"71223ned"	"Gem. ink. part.huish.; inkomensbron,2002"	"Eenmalig"	"2002."
"71221ned"	"Gem. ink. particulier hh.; type hh.,2002"	"Eenmalig"	"2002."
"71220ned"	"Gem.ink.part.hh.;type hh.(def.2000),2002"	"Eenmalig"	"2002."
"70187ned"	"Huishoudens; gem. inkomens, 1990-2000"	"Stopgezet"	"1990 - 2000"
"70191ned"	"Huishoudens; inkomensgroepen 1990-2000"	"Stopgezet"	"1990 - 2000"
"70195ned"	"Huishoudens; inkomensgroepen per kenmerk"	"Stopgezet"	"1990 - 2000"
"70189ned"	"Huishoudens; inkomensklassen"	"Stopgezet"	"1990 - 2000"
"70193ned"	"Huishoudens; samenst. inkomen 1990-2000"	"Stopgezet"	"1990 - 2000"
"70710ned"	"Inkomens van huish.: herkomst en regio"	"Stopgezet"	"2000"
"70711NED"	"Inkomens van huish.: herkomstgroepering"	"Stopgezet"	"2000"
"70147ned"	"Inkomens in de wijken van 4 grote steden"	"Eenmalig"	"2000"
"70109ned"	"Inkomenspositie en wonen."	"Stopgezet"	"1996, 1998 - 2000"
"70105ned"	"Koopbereidheid naar inkomenspositie"	"Stopgezet"	"1991 - 2001"
"71226ned"	"10%-inkomensgr.; alle huishoudens, 2002"	"Eenmalig"	"2002."
"71225ned"	"10%-inkomensgr.; part. huishoudens, 2002"	"Eenmalig"	"2002."
"70199ned"	"Belasting- en premieheffing"	"Stopgezet"	"1990 - 2000"
"37479etv"	"Een- en tweeverdieners"	"Stopgezet"	"1990 - 2000"
"71217ned"	"Gem. ink. personen; geslacht/leeft, 2002"	"Eenmalig"	"2002."
"71219ned"	"Gem. ink. personen; land herkomst, 2002"	"Eenmalig"	"2002."
"71218ned"	"Gem. ink. personen; soc. econ. cat.,2002"	"Eenmalig"	"2002."
"71216ned"	"Gemiddeld inkomen; bevolking, 2002"	"Eenmalig"	"2002."
"70759ned"	"Inkomensontwikkeling grote steden"	"Stopgezet"	"1950 - 2000"
"70188ned"	"Personen; gemiddelde inkomens"	"Stopgezet"	"1990 - 2000"
"70192ned"	"Personen; inkomensgroepen"	"Stopgezet"	"1990 - 2000"
"70196ned"	"Personen; inkomensgroepen per kenmerk"	"Stopgezet"	"1990 - 2000"
"70190ned"	"Personen; inkomensklassen 1990-2000"	"Stopgezet"	"1990 - 2000"
"70194ned"	"Samenstel. inkomens personen; 1990-2000"	"Stopgezet"	"1990 - 2000"
"71224ned"	"10%-inkomensgroepen; personen, 2002"	"Eenmalig"	"2002."
"70182ned"	"Dynamische koopkrachtontw; 1977-2000"	"Stopgezet"	"1977 / 1979 - 1999 / 2000"
"70185ned"	"Koopkracht en aantal verdieners"	"Stopgezet"	"1977/1979 - 1999/2000"
"70186ned"	"Koopkracht en inkomensbron"	"Stopgezet"	"1989 / 1991 - 1999 / 2000"
"70184ned"	"Koopkracht en samenst. huish; 1977-2000"	"Stopgezet"	"1977 / 1979 - 1999 / 2000"
"70183ned"	"Koopkracht en soc.-ec. categorie"	"Stopgezet"	"1977/1979 - 1999/2000"
"71973NED"	"Pensioenen; aanspraken van huishoudens"	"Stopgezet"	"2005."
"71972NED"	"Pensioenen; aanspraken van inactieven"	"Stopgezet"	"2005."
"71764ned"	"Pensioenen; aanspraken van personen"	"Stopgezet"	"2005."
"71765ned"	"Pensioenen; aanspraken van werknemers"	"Stopgezet"	"2005."
"71971ned"	"Pensioenen; aanspraken van zelfstandigen"	"Stopgezet"	"2005."
"71985ned"	"Gem. ink. part.huish.; inkomensbron,2006"	"Eenmalig"	"2006*."
"71984ned"	"Gem. ink. particulier hh.; type hh.,2006"	"Eenmalig"	"2006*."
"71980ned"	"Gem. ink. personen; geslacht/leeft, 2006"	"Eenmalig"	"2006*."
"71981ned"	"Gem. ink. personen; soc. econ. cat.,2006"	"Eenmalig"	"2006*."
"71982ned"	"Gem. ink. personen; land herkomst, 2006"	"Eenmalig"	"2006*."
"71983ned"	"Gemiddeld inkomen; bevolking, 2006"	"Eenmalig"	"2006*."
"71952ned"	"10%-inkomensgr.; alle huishoudens, 2006"	"Eenmalig"	"2006*."
"71987ned"	"10%-inkomensgr.; part. huishoudens, 2006"	"Eenmalig"	"2006*."
"71986ned"	"10%-inkomensgroepen; personen, 2006"	"Eenmalig"	"2006*."
"71711ned"	"Gem. ink. part.huish.; inkomensbron,2005"	"Eenmalig"	"2005**."
"71710ned"	"Gem. ink. particulier hh.; type hh.,2005"	"Eenmalig"	"2005**."
"71705ned"	"Gem. ink. personen; geslacht/leeft, 2005"	"Eenmalig"	"2005**."
"71706ned"	"Gem. ink. personen; soc. econ. cat.,2005"	"Eenmalig"	"2005**."
"71707ned"	"Gem. ink. personen; land herkomst, 2005"	"Eenmalig"	"2005**."
"71709ned"	"Gemiddeld inkomen; bevolking, 2005"	"Eenmalig"	"2005**."
"71713ned"	"Laag ink./sociaal minimum;part. hh.,2005"	"Eenmalig"	"2005**."
"71560ned"	"10%-inkomensgr.; alle huishoudens, 2005"	"Eenmalig"	"2005**."
"71708ned"	"10%-inkomensgr.; part. huishoudens, 2005"	"Eenmalig"	"2005**."
"71712ned"	"10%-inkomensgroepen; personen, 2005"	"Eenmalig"	"2005**."
"71370ned"	"Gem. ink. part.huish.; inkomensbron,2004"	"Eenmalig"	"2004."
"71368ned"	"Gem. ink. part.huish.; type huish., 2004"	"Eenmalig"	"2004."
"71364ned"	"Gem. ink. personen; geslacht/leeft, 2004"	"Eenmalig"	"2004."
"71365ned"	"Gem. ink. personen; soc. econ. cat.,2004"	"Eenmalig"	"2004."
"71366ned"	"Gem. ink. personen; land herkomst, 2004"	"Eenmalig"	"2004."
"71363ned"	"Gemiddeld inkomen; bevolking, 2004"	"Eenmalig"	"2004."
"71374ned"	"Laag ink./soc. min.; part. huish., 2004"	"Eenmalig"	"2004."
"71373ned"	"10%-inkomensgr.; alle huishoudens, 2004"	"Eenmalig"	"2004."
"71372ned"	"10%-inkomensgr.; part. huishoudens, 2004"	"Eenmalig"	"2004."
"71371ned"	"10%-inkomensgroepen; personen, 2004"	"Eenmalig"	"2004."
"71239ned"	"Gem. ink. part.huish.; inkomensbron,2003"	"Eenmalig"	"2003."
"71237ned"	"Gem. ink. particulier hh.; type hh.,2003"	"Eenmalig"	"2003."
"71234ned"	"Gem. ink. personen; geslacht/leeft, 2003"	"Eenmalig"	"2003."
"71236ned"	"Gem. ink. personen; land herkomst, 2003"	"Eenmalig"	"2003."
"71235ned"	"Gem. ink. personen; soc. econ. cat.,2003"	"Eenmalig"	"2003."
"71233ned"	"Gemiddeld inkomen; bevolking, 2003"	"Eenmalig"	"2003."
"71343ned"	"Laag ink./sociaal minimum;part. hh.,2003"	"Eenmalig"	"2003."
"71242ned"	"10%-inkomensgr.; alle huishoudens, 2003"	"Eenmalig"	"2003."
"71241ned"	"10%-inkomensgr.; part. huishoudens, 2003"	"Eenmalig"	"2003."
"71240ned"	"10%-inkomensgroepen; personen, 2003"	"Eenmalig"	"2003."
"71358ned"	"Ink.part.hh;inkomensbron na revisie,2002"	"Eenmalig"	"2002."
"71356ned"	"Ink. part.hh.; type hh. na revisie, 2002"	"Eenmalig"	"2002."
"71352ned"	"Ink. personen; gesl/lft na revisie, 2002"	"Eenmalig"	"2002."
"71353ned"	"Ink. pers.;soc.econ.cat. na revisie,2002"	"Eenmalig"	"2002."
