isic	ind	gdpbyindustry_industry_key	gdpbyindustry_industry_desc	nipa_185_seriescode	nipa_185_linedescription	nipa_189_seriescode	nipa_189_linedescription	nipa_193_seriescode	nipa_193_linedescription	nipa_197_seriescode	nipa_197_linedescription	nipa_209_seriescode	nipa_209_linedescription	fixedassets_seriescode	fixedassets_linedescription	fixedassets_57_seriescode	fixedassets_57_linedescription
D47	N44RT	44RT	"Retail trade (A,Q)"	N4040C	Retail trade	N4140C	Retail trade	N4238C	Retail trade	N4338C	Retail trade	N4638C	Retail trade	n44RT1es00	Retail trade	n44RT1eq00	Retail trade
	N441	441	Motor vehicle and parts dealers (A)	N4041C	Motor vehicle and parts dealers	N4141C	Motor vehicle and parts dealers	N4239C	Motor vehicle and parts dealers	N4339C	Motor vehicle and parts dealers	N4639C	Motor vehicle and parts dealers				
	N445	445	Food and beverage stores (A)	N4042C	Food and beverage stores	N4142C	Food and beverage stores	N4240C	Food and beverage stores	N4340C	Food and beverage stores	N4640C	Food and beverage stores				
	N452	452	General merchandise stores (A)	N4043C	General merchandise stores	N4143C	General merchandise stores	N4241C	General merchandise stores	N4341C	General merchandise stores	N4641C	General merchandise stores				
	N4A0	4A0	Other retail (A)	N4044C	Other retail	N4144C	Other retail	N4242C	Other retail	N4342C	Other retail	N4642C	Other retail				
	N48TW	48TW	"Transportation and warehousing (A,Q)"	N4045C	Transportation and warehousing	N4145C	Transportation and warehousing	N4243C	Transportation and warehousing	N4343C	Transportation and warehousing	N4643C	Transportation and warehousing	n48001es00	Transportation and warehousing	n48001eq00	Transportation and warehousing
D51	N481	481	Air transportation (A)	N4046C	Air transportation	N4146C	Air transportation	N4244C	Air transportation	N4344C	Air transportation	N4644C	Air transportation	n48101es00	Air transportation	n48101eq00	Air transportation
D49part	N482	482	Rail transportation (A)	N4047C	Rail transportation	N4147C	Rail transportation	N4245C	Rail transportation	N4345C	Rail transportation	N4645C	Rail transportation	n48201es00	Railroad transportation	n48201eq00	Railroad transportation
D50	N483	483	Water transportation (A)	N4048C	Water transportation	N4148C	Water transportation	N4246C	Water transportation	N4346C	Water transportation	N4646C	Water transportation	n48301es00	Water transportation	n48301eq00	Water transportation
D49part	N484	484	Truck transportation (A)	N4049C	Truck transportation	N4149C	Truck transportation	N4247C	Truck transportation	N4347C	Truck transportation	N4647C	Truck transportation	n48401es00	Truck transportation	n48401eq00	Truck transportation
D49part	N485	485	Transit and ground passenger transportation (A)	N4050C	Transit and ground passenger transportation	N4150C	Transit and ground passenger transportation	N4248C	Transit and ground passenger transportation	N4348C	Transit and ground passenger transportation	N4648C	Transit and ground passenger transportation	n48501es00	Transit and ground passenger transportation	n48501eq00	Transit and ground passenger transportation
D49part	N486	486	Pipeline transportation (A)	N4051C	Pipeline transportation	N4151C	Pipeline transportation	N4249C	Pipeline transportation	N4349C	Pipeline transportation	N4649C	Pipeline transportation	n48601es00	Pipeline transportation	n48601eq00	Pipeline transportation
D52part	N487OS	487OS	Other transportation and support activities (A)	N4052C	Other transportation and support activities	N4152C	Other transportation and support activities	N4250C	Other transportation and support activities	N4350C	Other transportation and support activities	N4650C	Other transportation and support activities	n487S1es00	Other transportation and support activities	n487S1eq00	Other transportation and support activities
D52part	N493	493	Warehousing and storage (A)	N4053C	Warehousing and storage	N4153C	Warehousing and storage	N4251C	Warehousing and storage	N4351C	Warehousing and storage	N4651C	Warehousing and storage	n49301es00	Warehousing and storage	n49301eq00	Warehousing and storage
	N51	51	"Information (A,Q)"	N4054C	Information	N4154C	Information	N4252C	Information	N4352C	Information	N4652C	Information	n51001es00	Information	n51001eq00	Information
D58	N511	511	"Publishing industries, except internet (includes software) (A)"	N4055C	Publishing industries (includes software)	N4155C	Publishing industries (includes software)	N4253C	Publishing industries (includes software)	N4353C	Publishing industries (includes software)	N4653C	Publishing industries (includes software)	n51101es00	Publishing industries (includes software)	n51101eq00	Publishing industries (includes software)
D59	N512	512	Motion picture and sound recording industries (A)	N4056C	Motion picture and sound recording industries	N4156C	Motion picture and sound recording industries	N4254C	Motion picture and sound recording industries	N4354C	Motion picture and sound recording industries	N4654C	Motion picture and sound recording industries	n51201es00	Motion picture and sound recording industries	n51201eq00	Motion picture and sound recording industries
D60	N513	513	Broadcasting and telecommunications (A)	N4057C	Broadcasting and telecommunications	N4157C	Broadcasting and telecommunications	N4255C	Broadcasting and telecommunications	N4355C	Broadcasting and telecommunications	N4655C	Broadcasting and telecommunications	n51301es00	Broadcasting and telecommunications	n51301eq00	Broadcasting and telecommunications
D63	N514	514	"Data processing, internet publishing, and other information services (A)"	N4058C	Information and data processing services	N4158C	Information and data processing services	N4256C	Information and data processing services	N4356C	Information and data processing services	N4656C	Information and data processing services	n51401es00	Information and data processing services	n51401eq00	Information and data processing services
	NFIRE	FIRE	"Finance, insurance, real estate, rental, and leasing (A,Q)"														
	N52	52	"Finance and insurance (A,Q)"	N4059C	Finance and insurance	N4159C	Finance and insurance	N4257C	Finance and insurance	N4357C	Finance and insurance	N4657C	Finance and insurance	n52001es00	Finance and insurance	n52001eq00	Finance and insurance
D64	N521CI	521CI	"Federal Reserve banks, credit intermediation, and related activities (A)"	N4060C	"Federal Reserve banks, credit intermediation, and related activities"	N4160C	"Federal Reserve banks, credit intermediation, and related activities"	N4258C	"Federal Reserve banks, credit intermediation, and related activities"	N4358C	"Federal Reserve banks, credit intermediation, and related activities"	N4658C	"Federal Reserve banks, credit intermediation, and related activities"	n52101es00	Federal Reserve banks	n52101eq00	Federal Reserve banks
														n52201es00	Credit intermediation and related activities	n52201eq00	Credit intermediation and related activities
D66	N523	523	"Securities, commodity contracts, and investments (A)"	N4061C	"Securities, commodity contracts, and investments"	N4161C	"Securities, commodity contracts, and investments"	N4259C	"Securities, commodity contracts, and investments"	N4359C	"Securities, commodity contracts, and investments"	N4659C	"Securities, commodity contracts, and investments"	n52301es00	"Securities, commodity contracts, and investments"	n52301eq00	"Securities, commodity contracts, and investments"
D65part	N524	524	Insurance carriers and related activities (A)	N4062C	Insurance carriers and related activities	N4162C	Insurance carriers and related activities	N4260C	Insurance carriers and related activities	N4360C	Insurance carriers and related activities	N4660C	Insurance carriers and related activities	n52401es00	Insurance carriers and related activities	n52401eq00	Insurance carriers and related activities
D65part	N525	525	"Funds, trusts, and other financial vehicles (A)"	N4063C	"Funds, trusts, and other financial vehicles"	N4163C	"Funds, trusts, and other financial vehicles"	N4261C	"Funds, trusts, and other financial vehicles"	N4361C	"Funds, trusts, and other financial vehicles"	N4661C	"Funds, trusts, and other financial vehicles"	n52501es00	"Funds, trusts, and other financial vehicles"	n52501eq00	"Funds, trusts, and other financial vehicles"
	N53	53	"Real estate and rental and leasing (A,Q)"	N4064C	Real estate and rental and leasing	N4164C	Real estate and rental and leasing	N4262C	Real estate and rental and leasing	N4362C	Real estate and rental and leasing	N4662C	Real estate and rental and leasing	p53001es00	Real estate and rental and leasing	p53001eq00	Real estate and rental and leasing
D68	N531	531	Real estate (A)	N4065C	Real estate	N4165C	Real estate	N4263C	Real estate	N4363C	Real estate	N4663C	Real estate	p53101es00	Real estate	p53101eq00	Real estate
	NHS	HS	Housing (A)														
	NORE	ORE	Other real estate (A)														
D77	N532RL	532RL	Rental and leasing services and lessors of intangible assets (A)	N4066C	Rental and leasing services and lessors of intangible assets	N4166C	Rental and leasing services and lessors of intangible assets	N4264C	Rental and leasing services and lessors of intangible assets	N4364C	Rental and leasing services and lessors of intangible assets	N4664C	Rental and leasing services and lessors of intangible assets	n53201es00	Rental and leasing services and lessors of intangible assets	n53201eq00	Rental and leasing services and lessors of intangible assets
	NPROF	PROF	"Professional and business services (A,Q)"														
	N54	54	"Professional, scientific, and technical services (A,Q)"	N4067C	"Professional, scientific, and technical services"	N4167C	"Professional, scientific, and technical services"	N4265C	"Professional, scientific, and technical services"	N4365C	"Professional, scientific, and technical services"	N4665C	"Professional, scientific, and technical services"	n54001es00	"Professional, scientific, and technical services"	n54001eq00	"Professional, scientific, and technical services"
D69	N5411	5411	Legal services (A)	N4068C	Legal services	N4168C	Legal services	N4266C	Legal services	N4366C	Legal services	N4666C	Legal services	n54111es00	Legal services	n54111eq00	Legal services
D62	N5415	5415	Computer systems design and related services (A)	N4069C	Computer systems design and related services	N4169C	Computer systems design and related services	N4267C	Computer systems design and related services	N4367C	Computer systems design and related services	N4667C	Computer systems design and related services	n54151es00	Computer systems design and related services	n54151eq00	Computer systems design and related services
D74	N5412OP	5412OP	"Miscellaneous professional, scientific, and technical services (A)"	N4070C	"Miscellaneous professional, scientific, and technical services"	N4170C	"Miscellaneous professional, scientific, and technical services"	N4268C	"Miscellaneous professional, scientific, and technical services"	N4368C	"Miscellaneous professional, scientific, and technical services"	N4668C	"Miscellaneous professional, scientific, and technical services"	n54121es00	"Miscellaneous professional, scientific, and technical services"	n54121eq00	"Miscellaneous professional, scientific, and technical services"
D70	N55	55	"Management of companies and enterprises (A,Q)"	N4071C	Management of companies and enterprises	N4171C	Management of companies and enterprises	N4269C	Management of companies and enterprises	N4369C	Management of companies and enterprises	N4669C	Management of companies and enterprises	n55001es00	Management of companies and enterprises	n55001eq00	Management of companies and enterprises
	N56	56	"Administrative and waste management services (A,Q)"	N4072C	Administrative and waste management services	N4172C	Administrative and waste management services	N4270C	Administrative and waste management services	N4370C	Administrative and waste management services	N4670C	Administrative and waste management services	n56001es00	Administrative and waste management services	n56001eq00	Administrative and waste management services
D82	N561	561	Administrative and support services (A)	N4073C	Administrative and support services	N4173C	Administrative and support services	N4271C	Administrative and support services	N4371C	Administrative and support services	N4671C	Administrative and support services	n56101es00	Administrative and support services	n56101eq00	Administrative and support services
D36T39	N562	562	Waste management and remediation services (A)	N4074C	Waste management and remediation services	N4174C	Waste management and remediation services	N4272C	Waste management and remediation services	N4372C	Waste management and remediation services	N4672C	Waste management and remediation services	n56201es00	Waste management and remediation services	n56201eq00	Waste management and remediation services
	N6	6	"Educational services, health care, and social assistance (A,Q)"														
D85	N61	61	"Educational services (A,Q)"	N4075C	Educational services	N4175C	Educational services	N4273C	Educational services	N4373C	Educational services	N4673C	Educational services	n61001es00	Educational services	n61001eq00	Educational services
D86T88	N62	62	"Health care and social assistance (A,Q)"	N4076C	Health care and social assistance	N4176C	Health care and social assistance	N4274C	Health care and social assistance	N4374C	Health care and social assistance	N4674C	Heath care and social assistance	n62001es00	Health care and social assistance	n62001eq00	Health care and social assistance
D86part	N621	621	Ambulatory health care services (A)	N4077C	Ambulatory health care services	N4177C	Ambulatory health care services	N4275C	Ambulatory health care services	N4375C	Ambulatory health care services	N4675C	Ambulatory health care services	n62101es00	Ambulatory health care services	n62101eq00	Ambulatory health care services
D86part	N622	622	Hospitals (A)	N4078C	Hospitals	N4178C	Hospitals	N4290C	Hospitals	N4390C	Hospitals	N4690C	Hospitals	n622h1es00	Hospitals	n622h1eq00	Hospitals
D87	N623	623	Nursing and residential care facilities (A)	N4079C	Nursing and residential care facilities	N4179C	Nursing and residential care facilities	N4291C	Nursing and residential care facilities	N4391C	Nursing and residential care facilities	N4691C	Nursing and residential care facilities	n62301es00	Nursing and residential care facilities	n62301eq00	Nursing and residential care facilities
D88	N624	624	Social assistance (A)	N4080C	Social assistance	N4180C	Social assistance	N4292C	Social assistance	N4392C	Social assistance	N4692C	Social assistance	n62401es00	Social assistance	n62401eq00	Social assistance
	N7	7	"Arts, entertainment, recreation, accommodation, and food services (A,Q)"														
D90T93	N71	71	"Arts, entertainment, and recreation (A,Q)"	N4081C	"Arts, entertainment, and recreation"	N4181C	"Arts, entertainment, and recreation"	N4293C	"Arts, entertainment, and recreation"	N4393C	"Arts, entertainment, and recreation"	N4693C	"Arts, entertainment, and recreation"	n71001es00	"Arts, entertainment, and recreation"	n71001eq00	"Arts, entertainment, and recreation"
	N711AS	711AS	"Performing arts, spectator sports, museums, and related activities (A)"	N4082C	"Performing arts, spectator sports, museums, and related activities"	N4182C	"Performing arts, spectator sports, museums, and related activities"	N4294C	"Performing arts, spectator sports, museums, and related activities"	N4394C	"Performing arts, spectator sports, museums, and related activities"	N4694C	"Performing arts, spectator sports, museums, and related activities"	n711a1es00	"Performing arts, spectator sports, museums, and related activities"	n711a1eq00	"Performing arts, spectator sports, museums, and related activities"
	N713	713	"Amusements, gambling, and recreation industries (A)"	N4083C	"Amusements, gambling, and recreation industries"	N4183C	"Amusements, gambling, and recreation industries"	N4295C	"Amusements, gambling, and recreation industries"	N4395C	"Amusements, gambling, and recreation industries"	N4695C	"Amusements, gambling, and recreation industries"	n71301es00	"Amusements, gambling, and recreation industries"	n71301eq00	"Amusements, gambling, and recreation industries"
	N72	72	"Accommodation and food services (A,Q)"	N4084C	Accommodation and food services	N4184C	Accommodation and food services	N4296C	Accommodation and food services	N4396C	Accommodation and food services	N4696C	Accommodation and food services	n72001es00	Accommodation and food services	n72001eq00	Accommodation and food services
D55	N721	721	Accommodation (A)	N4085C	Accommodation	N4185C	Accommodation	N4297C	Accommodation	N4397C	Accommodation	N4697C	Accommodation	n72101es00	Accommodation	n72101eq00	Accommodation
D56	N722	722	Food services and drinking places (A)	N4086C	Food services and drinking places	N4186C	Food services and drinking places	N4298C	Food services and drinking places	N4398C	Food services and drinking places	N4698C	Food services and drinking places	n72201es00	Food services and drinking places	n72201eq00	Food services and drinking places
D90T99part	N81	81	"Other services, except government (A,Q)"	N4087C	"Other services, except government"	N4187C	"Other services, except government"	N4299C	"Other services, except government"	N4399C	"Other services, except government"	N4699C	"Other services, except government"	n81001es00	"Other services, except government"	n81001eq00	"Other services, except government"
	NG	G	"Government (A,Q)"	A4076C	Government	A553RC	Government	A4276C	Government	A4376C	Government	A4376C	Government				
	NGF	GF	"Federal (A,Q)"	B4077C	Federal	A4177C	Federal	A4277C	Federal	A4377C	Federal	A4377C	Federal				
D84part	NGFG	GFG	General government (A)	B568RC	General government	A4178C	General government	A4278C	General government	A4378C	General government	A4378C	General government				
	NGFGD	GFGD	National defense (A)														
	NGFGN	GFGN	Nondefense (A)														
				B4079C	Civilian	B4179C	Civilian	B4279C	Civilian	B4379C	Civilian	B4379C	Civilian				
				W4080C	Military	B4180C	Military	B4280C	Military	B4380C	Military	B4380C	Military				
D53	NGFE	GFE	Government enterprises (A)	A4081C	Government enterprises	B4181C	Government enterprises	B4281C	Government enterprises	B4381C	Government enterprises	B4381C	Government enterprises				
	NGSL	GSL	"State and local (A,Q)"	B4082C	State and local	A4182C	State and local	A4282C	State and local	A4382C	State and local	A4382C	State and local				
D84T88part	NGSLG	GSLG	General government (A)	B251RC	General government	A4183C	General government	A4283C	General government	A4383C	General government	A4383C	General government				
				B4084C	Education	B4184C	Education	B4284C	Education	B4384C	Education	B4384C	Education				
				B4085C	Other	B4185C	Other	B4285C	Other	B4385C	Other	B4385C	Other				
D84part	NGSLE	GSLE	Government enterprises (A)	B4086C	Government enterprises	B4186C	Government enterprises	B4286C	Government enterprises	B4386C	Government enterprises	B4386C	Government enterprises				
	NNABI	NABI	"Not allocated by industry [1] (A,Q)"														
	NPGOOD	PGOOD	"Private goods-producing industries [2] (A,Q)"														
	NPSERV	PSERV	"Private services-producing industries [3] (A,Q)"														
	NICT	ICT	Information-communications-technology-producing industries [4] (A)														
				A4187C	Rest of the world	A4187C	Rest of the world	A4287C	Rest of the world	A4387C	Rest of the world	A4387C	Rest of the world				
	NGOV_tot			B4188C	Receipts from the rest of the world	B4188C	Receipts from the rest of the world							gtotl1es00	Government fixed assets		
	NGOV_def			B4189C	Less: Payments to the rest of the world	B4189C	Less: Payments to the rest of the world							gdefn1es00	National defense		
	NGOV_def_res													gdefn1sb10	Residential		
